date,total,Holidays,outbreak
9.9.2008,36,0,0
10.9.2008,33,0,0
11.9.2008,36,0,0
12.9.2008,34,0,0
13.9.2008,50,0,0
14.9.2008,58,0,0
15.9.2008,34,0,0
16.9.2008,34,0,0
17.9.2008,29,0,0
18.9.2008,30,0,0
19.9.2008,30,0,0
20.9.2008,49,0,0
21.9.2008,46,0,0
22.9.2008,24,0,0
23.9.2008,20,0,0
24.9.2008,22,0,0
25.9.2008,23,0,0
26.9.2008,27,0,0
27.9.2008,60,0,0
28.9.2008,58,0,0
29.9.2008,55,1,0
30.9.2008,55,1,0
1.10.2008,64,1,0
2.10.2008,60,1,0
3.10.2008,59,1,0
4.10.2008,58,0,0
5.10.2008,59,0,0
6.10.2008,37,0,0
7.10.2008,33,0,0
8.10.2008,31,0,0
9.10.2008,33,0,0
10.10.2008,37,0,0
11.10.2008,50,0,0
12.10.2008,54,0,0
13.10.2008,38,0,0
14.10.2008,34,0,0
15.10.2008,30,0,0
16.10.2008,32,0,0
17.10.2008,35,0,0
18.10.2008,46,0,0
19.10.2008,44,0,0
20.10.2008,36,0,0
21.10.2008,32,0,0
22.10.2008,33,0,0
23.10.2008,31,0,0
24.10.2008,35,0,0
25.10.2008,49,0,0
26.10.2008,46,0,0
27.10.2008,32,0,0
28.10.2008,35,0,0
29.10.2008,51,1,0
30.10.2008,32,0,0
31.10.2008,33,0,0
1.11.2008,53,0,0
2.11.2008,51,0,0
3.11.2008,33,0,0
4.11.2008,31,0,0
5.11.2008,35,0,0
6.11.2008,33,0,0
7.11.2008,31,0,0
8.11.2008,51,0,0
9.11.2008,44,0,0
10.11.2008,38,0,0
11.11.2008,30,0,0
12.11.2008,30,0,0
13.11.2008,28,0,0
14.11.2008,37,0,0
15.11.2008,42,0,0
16.11.2008,50,0,0
17.11.2008,37,0,0
18.11.2008,29,0,0
19.11.2008,28,0,0
20.11.2008,25,0,0
21.11.2008,34,0,0
22.11.2008,46,0,0
23.11.2008,43,0,0
24.11.2008,36,0,0
25.11.2008,31,0,0
26.11.2008,33,0,0
27.11.2008,34,0,0
28.11.2008,51,0,0
29.11.2008,45,0,0
30.11.2008,53,0,0
1.12.2008,36,0,0
2.12.2008,40,0,0
3.12.2008,41,0,0
4.12.2008,40,0,0
5.12.2008,34,0,0
6.12.2008,69,0,0
7.12.2008,65,1,0
8.12.2008,55,1,0
9.12.2008,63,1,0
10.12.2008,69,1,0
11.12.2008,73,1,0
12.12.2008,69,1,0
13.12.2008,70,0,0
14.12.2008,68,0,0
15.12.2008,50,0,0
16.12.2008,40,0,0
17.12.2008,40,0,0
18.12.2008,37,0,0
19.12.2008,38,0,0
20.12.2008,61,0,0
21.12.2008,64,0,0
22.12.2008,45,0,0
23.12.2008,44,0,0
24.12.2008,40,0,0
25.12.2008,42,0,0
26.12.2008,45,0,0
27.12.2008,52,0,0
28.12.2008,61,0,0
29.12.2008,53,0,0
30.12.2008,37,0,0
31.12.2008,33,0,0
1.1.2009,74,1,0
2.1.2009,57,0,0
3.1.2009,63,0,0
4.1.2009,88,0,0
5.1.2009,66,0,1
6.1.2009,74,0,1
7.1.2009,71,0,1
8.1.2009,74,0,1
9.1.2009,77,0,1
10.1.2009,118,0,1
11.1.2009,109,0,1
12.1.2009,81,0,1
13.1.2009,73,0,1
14.1.2009,75,0,1
15.1.2009,77,0,1
16.1.2009,78,0,1
17.1.2009,151,0,1
18.1.2009,144,0,1
19.1.2009,115,0,1
20.1.2009,105,0,1
21.1.2009,88,0,1
22.1.2009,79,0,1
23.1.2009,101,0,1
24.1.2009,228,0,1
25.1.2009,187,0,1
26.1.2009,96,0,1
27.1.2009,100,0,1
28.1.2009,104,0,1
29.1.2009,94,0,1
30.1.2009,91,0,1
31.1.2009,133,0,1
1.2.2009,156,0,1
2.2.2009,142,0,1
3.2.2009,96,0,1
4.2.2009,77,0,1
5.2.2009,79,0,1
6.2.2009,74,0,1
7.2.2009,129,0,1
8.2.2009,112,0,1
9.2.2009,88,0,1
10.2.2009,67,0,1
11.2.2009,65,0,1
12.2.2009,57,0,1
13.2.2009,60,0,1
14.2.2009,85,0,1
15.2.2009,80,0,1
16.2.2009,45,0,0
17.2.2009,42,0,0
18.2.2009,47,0,0
19.2.2009,42,0,0
20.2.2009,60,0,0
21.2.2009,90,0,0
22.2.2009,78,0,0
23.2.2009,51,0,0
24.2.2009,64,0,0
25.2.2009,55,0,0
26.2.2009,37,0,0
27.2.2009,45,0,0
28.2.2009,106,0,0
1.3.2009,106,0,0
2.3.2009,63,0,0
3.3.2009,59,0,0
4.3.2009,45,0,0
5.3.2009,58,0,0
6.3.2009,77,0,0
7.3.2009,106,0,0
8.3.2009,81,0,0
9.3.2009,55,0,0
10.3.2009,41,0,0
11.3.2009,57,0,0
12.3.2009,41,0,0
13.3.2009,42,0,0
14.3.2009,91,0,0
15.3.2009,96,0,0
16.3.2009,39,0,0
17.3.2009,50,0,0
18.3.2009,48,0,0
19.3.2009,35,0,0
20.3.2009,49,0,0
21.3.2009,100,0,0
22.3.2009,101,0,0
23.3.2009,53,0,0
24.3.2009,30,0,0
25.3.2009,46,0,0
26.3.2009,42,0,0
27.3.2009,52,0,0
28.3.2009,68,0,0
29.3.2009,55,0,0
30.3.2009,53,0,0
31.3.2009,53,0,0
1.4.2009,55,0,0
2.4.2009,45,0,0
3.4.2009,55,0,0
4.4.2009,82,0,0
5.4.2009,80,0,0
6.4.2009,47,0,0
7.4.2009,35,0,0
8.4.2009,42,0,0
9.4.2009,42,0,0
10.4.2009,64,0,0
11.4.2009,72,0,0
12.4.2009,78,0,0
13.4.2009,57,0,0
14.4.2009,39,0,0
15.4.2009,60,0,0
16.4.2009,57,0,0
17.4.2009,60,0,0
18.4.2009,86,0,0
19.4.2009,111,0,0
20.4.2009,65,0,0
21.4.2009,54,0,0
22.4.2009,60,0,0
23.4.2009,112,1,0
24.4.2009,65,0,0
25.4.2009,123,0,0
26.4.2009,97,0,0
27.4.2009,57,0,0
28.4.2009,55,0,0
29.4.2009,56,0,0
30.4.2009,34,0,0
1.5.2009,109,1,0
2.5.2009,110,0,0
3.5.2009,121,0,0
4.5.2009,59,0,0
5.5.2009,52,0,0
6.5.2009,42,0,0
7.5.2009,38,0,0
8.5.2009,55,0,0
9.5.2009,86,0,0
10.5.2009,86,0,0
11.5.2009,60,0,0
12.5.2009,53,0,0
13.5.2009,44,0,0
14.5.2009,42,0,0
15.5.2009,45,0,0
16.5.2009,75,0,0
17.5.2009,84,0,0
18.5.2009,59,0,0
19.5.2009,76,1,0
20.5.2009,52,0,0
21.5.2009,45,0,0
22.5.2009,40,0,0
23.5.2009,70,0,0
24.5.2009,60,0,0
25.5.2009,48,0,0
26.5.2009,41,0,0
27.5.2009,39,0,0
28.5.2009,41,0,0
29.5.2009,39,0,0
30.5.2009,61,0,0
31.5.2009,56,0,0
1.6.2009,43,0,0
2.6.2009,38,0,0
3.6.2009,35,0,0
4.6.2009,33,0,0
5.6.2009,35,0,0
6.6.2009,60,0,0
7.6.2009,55,0,0
8.6.2009,41,0,0
9.6.2009,38,0,0
10.6.2009,36,0,0
11.6.2009,35,0,0
12.6.2009,39,0,0
13.6.2009,75,0,0
14.6.2009,68,0,0
15.6.2009,52,0,0
16.6.2009,42,0,0
17.6.2009,39,0,0
18.6.2009,36,0,0
19.6.2009,38,0,0
20.6.2009,61,0,0
21.6.2009,54,0,0
22.6.2009,39,0,0
23.6.2009,31,0,0
24.6.2009,35,0,0
25.6.2009,31,0,0
26.6.2009,30,0,0
27.6.2009,53,0,0
28.6.2009,52,0,0
29.6.2009,42,0,0
30.6.2009,33,0,0
1.7.2009,29,0,0
2.7.2009,31,0,0
3.7.2009,32,0,0
4.7.2009,70,0,0
5.7.2009,57,0,0
6.7.2009,34,0,0
7.7.2009,36,0,0
